ODP 1209 PETM,ODP 1209 prePETM,DSDP 401 PETM,DSDP 401 prePETM
35.38200334,35.15088455,34.46464883,35.66324582
35.39252658,35.16523812,34.47982882,35.67264715
35.52798015,35.30118334,34.73722039,35.94370837
35.54239343,35.31906887,34.99137455,36.18939858
35.53229491,35.3074196,35.003182,36.20835368
35.55479343,35.33331662,35.01916178,36.20281247
35.49380155,35.27196307,34.80964018,36.00416242
35.56851475,35.34641905,34.9281013,36.12052499
35.50602466,35.28656351,34.9528496,36.14294652
35.50151147,35.2734253,34.86270648,36.07912867
35.63297435,35.40988626,34.99333143,36.18615087
35.58201364,35.35643912,35.16757095,36.37304791
34.90092848,34.65553897,36.41190788,37.68209342
34.99011154,34.74528162,36.45805719,37.72041651
35.14565838,34.90635712,36.40600847,37.66372336
35.08055209,34.83569651,36.53879977,37.80096357
35.08597157,34.84448842,36.35597978,37.61405309
35.18769969,34.95151035,36.36412672,37.60565368
35.19111379,34.95452442,36.31385095,37.56627874
35.17725786,34.94234203,36.35338541,37.59930227
35.11240982,34.8693231,36.36172494,37.62317705
35.12734604,34.88920447,36.54104931,37.78827715
35.18121989,34.94497267,36.5210233,37.76207675
35.03984821,34.79865572,36.63059587,37.89209606
35.28760082,35.06031768,34.90501732,36.08572068
35.22693207,35.00008209,34.91325518,36.10689612
35.39421325,35.171803,34.77633072,35.94819072
35.35952762,35.14219632,34.75512076,35.91542034
35.38667729,35.17688526,34.75819778,35.90570029
35.39384193,35.17696983,34.72372331,35.89479126
35.35263437,35.13785762,34.56145138,35.72388275
35.28106467,35.0694639,34.64933602,35.79648983
35.31180609,35.09487207,34.50968295,35.68119937
35.28912422,35.07549434,34.73940506,35.89338799
35.33216713,35.12339303,34.70748947,35.85024776
35.28800736,35.07381191,34.53948829,35.700901
35.60528932,35.37846055,35.50527794,36.72525701
35.62796461,35.40733335,35.32372649,36.51832078
35.67200553,35.44378043,35.54535441,36.75729203
35.13453849,34.90509286,36.91947346,38.14861051
35.25718678,35.02682825,37.01252728,38.250623
35.09734127,34.86539588,37.01356283,38.25061343
35.29562509,35.08353522,35.4966659,36.66687457
35.453287,35.24360906,35.55800646,36.71687334
35.426973,35.21590079,35.48252906,36.63896485
35.132701,34.90176477,36.23552299,37.40748834
35.26592025,35.0459602,36.15870698,37.30986311
35.88525324,35.65446246,35.71714332,36.96840454
36.11175877,35.86449825,36.01261707,37.30063146
35.62600112,35.39358065,35.49361563,36.70570353
35.61231297,35.37617914,35.56921534,36.79377816
34.80969094,34.57439108,36.78817196,38.01638197
34.68040952,34.43710358,36.89551182,38.15365615
35.51927628,35.28839759,36.65022783,37.88695935
35.55457917,35.32888082,36.58056067,37.82079237
35.07928495,34.85289595,36.96821139,38.19114287
35.00997349,34.78285151,37.01888009,38.23155902
35.46833887,35.25056933,35.50491022,36.6768178
35.47450254,35.26588732,35.69036912,36.83266604
35.50031634,35.28659267,35.55778379,36.71848983
35.48339478,35.27285177,35.5677432,36.71251769
35.46079805,35.24663184,35.67420897,36.83689305
35.51402503,35.30005363,35.5401353,36.69896827
35.47361147,35.25351452,35.64566151,36.80565583
35.40493098,35.19467638,35.60378913,36.74376342
35.41836744,35.20103337,35.43171055,36.58897761
35.64858055,35.430556,35.93459465,37.0890789
35.73081295,35.51317818,35.76637958,36.92794762
35.73384109,35.51000613,35.61425323,36.78851005
35.62686158,35.40398658,35.57891821,36.74895731
35.54820036,35.31860074,35.49495374,36.67839511
35.62808565,35.40794411,35.40766694,36.55439179
