ODP 1209 PETM,ODP 1209 prePETM,DSDP 401 PETM,DSDP 401 prePETM
37.85521278,33.43927011,31.96687081,27.40842439
37.90840783,33.42487053,31.86350682,27.22041126
38.09697798,33.55312073,32.40837765,27.69903333
38.07931815,33.50592781,32.44733822,27.69849743
38.06625642,33.55579809,32.33862582,27.6656921
38.25022017,33.74998574,32.35299915,27.68204598
38.08860051,33.55252848,32.35188005,27.64149951
38.10240722,33.58983966,32.41200275,27.72804672
38.10637957,33.5568572,32.3961367,27.66732528
38.10178592,33.56248933,32.42993049,27.73239879
38.15592939,33.64123133,32.4210422,27.73755438
38.27180298,33.73597004,32.54892887,27.84587311
38.47413136,34.1488324,33.42071467,28.99862025
38.46563619,34.15049073,33.5028719,29.08881729
38.57735511,34.21944129,33.65994329,29.18934762
38.59559492,34.2765914,33.68295793,29.26414099
38.53021582,34.1453826,33.64515744,29.14583232
38.48289346,34.11307143,33.57915248,29.08535197
38.47946465,34.09714156,33.66493048,29.16133327
38.50039014,34.10401514,33.65478744,29.13096458
38.51793815,34.18612744,33.60576753,29.17025165
38.52820735,34.17249823,33.81266514,29.33970155
38.46880363,34.11581048,33.77034807,29.29580959
38.55150134,34.21874166,33.75831907,29.31904858
38.60884651,34.44819368,33.27950601,28.99786329
38.57836972,34.36367083,33.410123,29.06913541
38.56270877,34.29928641,33.39463624,28.98854813
38.4961909,34.22794608,33.37223396,28.9503767
38.58387256,34.30680469,33.50602248,29.06126512
38.56914339,34.27785163,33.40580775,28.95923249
38.62694036,34.33033584,33.41899941,28.96016967
38.62299209,34.35967109,33.3004842,28.87173481
38.69174324,34.3908656,33.29556073,28.8384582
38.62627646,34.35175429,33.34808061,28.91338684
38.54735523,34.2794088,33.34900404,28.910893
38.6734508,34.37473532,33.3310939,28.86987179
38.30544639,33.78092057,32.82674689,28.14345727
38.26068162,33.69898507,32.59988429,27.86002008
38.30298347,33.78771171,32.78845503,28.11594932
38.53831968,34.09725016,34.0671025,29.48050046
38.49393967,34.06279543,34.24198293,29.67037355
38.56567586,34.16721772,34.17361079,29.64094158
38.67386999,34.31581818,33.72185863,29.19112033
38.70903485,34.32821734,33.87553249,29.31432513
38.69025509,34.31536047,33.83571868,29.28203935
38.04991895,33.75510349,33.28159082,28.85663806
37.96948682,33.6124386,33.46816357,28.95342635
37.9585158,33.38453975,32.65411175,27.92798458
38.07736942,33.58904469,32.68448144,28.08745375
38.4074425,33.84964867,32.55300564,27.83589189
38.37184662,33.86348102,32.73914504,28.0864347
38.40223445,34.10316641,34.62116887,30.20580743
38.38666051,34.096098,34.74429843,30.35758517
38.34561734,33.93636767,33.78266897,29.23728466
38.46959065,34.05028246,33.81643016,29.25381532
38.74466876,34.24528989,34.10578415,29.44649907
38.77683238,34.29549481,34.00386422,29.36179335
38.90268632,34.54711666,33.80670081,29.28957102
39.06705735,34.72084814,33.98175264,29.45565073
38.96476841,34.60970716,33.93098265,29.4076772
38.93611485,34.58103942,33.9292955,29.39780892
39.12948302,34.78460221,34.021047,29.51043001
39.07645039,34.77163192,33.90139575,29.43525921
39.16224809,34.87546696,33.86499039,29.42806842
39.20514304,34.89828665,33.95970964,29.48141298
39.28493756,35.00096874,33.92919647,29.49145132
39.48330023,35.21702286,34.18010625,29.76326855
39.71619425,35.41348241,34.29447005,29.83857404
39.9529818,35.69077292,34.44998675,30.05345059
40.18309145,35.91020552,34.44717589,30.03699338
40.22985513,35.9955181,34.45904945,30.10543322
40.47641755,36.23673648,34.56893349,30.18804829
